ticker,current_price,level,type
ORCL,239.44,210.19,support
ORCL,239.44,218.57,support
ORCL,239.44,225.1,support
ORCL,239.44,228.89,support
ORCL,239.44,235.89,support
ORCL,239.44,241.49,resistance
ORCL,239.44,247.88,resistance
ORCL,239.44,253.08,resistance
ORCL,239.44,260.87,resistance
ORCL,239.44,267.46,resistance
