ticker,current_price,level,type
QQQ,742.35,716.68,support
QQQ,742.35,722.17,support
QQQ,742.35,731.27,support
QQQ,742.35,737.17,support
QQQ,742.35,740.97,support
QQQ,742.35,746.88,resistance
QQQ,742.35,750.46,resistance
